AAPL
AMZN
MSFT
FB
GOOGL
GOOG
TSLA
NVDA
ADBE
NFLX
PYPL
INTC
CMCSA
PEP
CSCO
COST
AMGN
AVGO
TMUS
QCOM
TXN
CHTR
SBUX
AMD
INTU
ISRG
GILD
MDLZ
BKNG
JD
VRTX
FISV
ZM
ATVI
ADP
REGN
CSX
AMAT
MELI
MU
ADSK
ILMN
LRCX
BIIB
LULU
MNST
ADI
KHC
DOCU
EA
WDAY
EBAY
DXCM
XEL
EXC
CTSH
NTES
NXPI
ORLY
CTAS
MAR
BIDU
ROST
WBA
SPLK
SNPS
IDXX
KLAC
VRSK
PCAR
CDNS
ASML
ANSS
PAYX
MCHP
FAST
SGEN
SIRI
ALXN
XLNX
MRNA
ALGN
CPRT
VRSN
PDD
SWKS
CERN
DLTR
INCY
TTWO
MXIM
CHKP
CTXS
CDW
TCOM
BMRN
ULTA
EXPE
WDC
FOXA
LBTYK
FOX
LBTYA
