SPY
IVV
VTI
VOO
QQQ
AGG
GLD
VEA
IEFA
VWO
VUG
BND
IWF
LQD
IEMG
VTV
EFA
VIG
IJH
IJR
IWM
VCIT
VGT
IWD
XLK
VO
USMV
VCSH
IAU
IVW
BNDX
HYG
VNQ
VB
ITOT
VYM
BSV
VEU
VXUS
XLV
EEM
IWB
TIP
DIA
SCHX
MBB
SHY
IWR
IXUS
IGSB
SHV
IEF
QUAL
SCHF
VV
XLF
MUB
GDX
TLT
EMB
PFF
SCHB
IVE
XLY
SDY
SLV
MDY
GOVT
XLP
VT
BIV
JPST
BIL
MINT
VBR
JNK
RSP
DVY
IWP
SCHD
ACWI
XLU
VGK
SCHG
SCHP
DGRO
XLI
MTUM
VMBS
VHT
IGIB
IEI
VBK
XLC
EFAV
GSLC
IWS
FDN
EWJ
SCHA
